,MAIN_SVVD,POL_CDE,POL_NME,POD_CDE,POD_NME,WBL_INTEVAL,MAIN_SVVD_SAILING_DATE,NUM,PRICE,binom
110,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/27 10:00,2020/4/4 23:00,0,0,0
111,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/27 12:00,2020/4/4 23:00,0,0,0
112,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/27 14:00,2020/4/4 23:00,0,0,0
113,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/27 16:00,2020/4/4 23:00,0,0,0
114,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/27 18:00,2020/4/4 23:00,0,0,0
121,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/28 08:00,2020/4/4 23:00,0,0,0
122,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/28 10:00,2020/4/4 23:00,0,0,0
123,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/28 12:00,2020/4/4 23:00,0,0,0
124,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/28 14:00,2020/4/4 23:00,0,0,0
125,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/28 16:00,2020/4/4 23:00,0,0,0
126,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/28 18:00,2020/4/4 23:00,0,0,0
133,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/29 08:00,2020/4/4 23:00,0,0,0
134,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/29 10:00,2020/4/4 23:00,0,0,0
135,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/29 12:00,2020/4/4 23:00,0,0,0
136,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/29 14:00,2020/4/4 23:00,0,0,0
137,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/29 16:00,2020/4/4 23:00,0,0,0
138,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/29 18:00,2020/4/4 23:00,0,0,0
149,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/30 08:00,2020/4/4 23:00,1,2006,1
150,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/30 10:00,2020/4/4 23:00,0,0,0
151,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/30 12:00,2020/4/4 23:00,0,0,0
152,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/30 14:00,2020/4/4 23:00,0,0,0
153,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/30 16:00,2020/4/4 23:00,0,0,0
154,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/30 18:00,2020/4/4 23:00,0,0,0
161,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/31 08:00,2020/4/4 23:00,0,0,0
163,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/31 10:00,2020/4/4 23:00,10,2006,1
165,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/31 12:00,2020/4/4 23:00,1,2006,1
167,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/31 14:00,2020/4/4 23:00,5,2006,1
168,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/31 16:00,2020/4/4 23:00,0,0,0
169,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/31 18:00,2020/4/4 23:00,0,0,0
183,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/4/1 08:00,2020/4/4 23:00,5,2006,1
184,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/4/1 10:00,2020/4/4 23:00,0,0,0
185,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/4/1 12:00,2020/4/4 23:00,0,0,0
186,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/4/1 14:00,2020/4/4 23:00,0,0,0
187,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/4/1 16:00,2020/4/4 23:00,0,0,0
188,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/4/1 18:00,2020/4/4 23:00,0,0,0
203,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/4/2 08:00,2020/4/4 23:00,7,1899.571429,1
204,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/4/2 10:00,2020/4/4 23:00,0,0,0
205,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/4/2 12:00,2020/4/4 23:00,0,0,0
206,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/4/2 14:00,2020/4/4 23:00,0,0,0
207,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/4/2 16:00,2020/4/4 23:00,0,0,0
208,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/4/2 18:00,2020/4/4 23:00,0,0,0
216,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/4/3 08:00,2020/4/4 23:00,12,1721,1
220,IC10-R3N-092 S,TSN,新港,NSH,南沙,2020/5/11 08:00,2020/5/16 23:00,0,0,0
221,IC10-R3N-092 S,TSN,新港,NSH,南沙,2020/5/11 10:00,2020/5/16 23:00,0,0,0
