,MAIN_SVVD,POL_CDE,POL_NME,POD_CDE,POD_NME,WBL_AUD_DTDL,MAIN_SVVD_SAILING_DATE,NUM,PRICE,binom
9027,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/15 18:00,2019/12/20 12:00,0,0,0
5799,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/16 8:00,2019/12/21 2:00,2,4366,1
9034,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/16 8:00,2019/12/20 12:00,0,0,0
5795,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/16 10:00,2019/12/21 2:00,2,4366,1
9035,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/16 10:00,2019/12/20 12:00,0,0,0
5796,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/16 12:00,2019/12/21 2:00,0,0,0
9036,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/16 12:00,2019/12/20 12:00,0,0,0
5798,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/16 14:00,2019/12/21 2:00,2,4366,1
9037,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/16 14:00,2019/12/20 12:00,0,0,0
9039,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/16 16:00,2019/12/20 12:00,4,4406,1
9040,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/16 18:00,2019/12/20 12:00,0,0,0
4256,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/17 8:00,2019/12/26 21:00,0,0,0
9050,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/17 8:00,2019/12/20 12:00,1,4406,1
4257,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/17 10:00,2019/12/26 21:00,0,0,0
9049,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/17 10:00,2019/12/20 12:00,5,4256,1
